codepoints	group	counted	cluster_width	code_point_sum	note
0061	control	1	1	1	ascii
03A9	control	1	1	1	greek
00F1	control	1	1	1	latin-1 precomposed
2192	control	1	1	1	east asian ambiguous
6F22	control	2	2	2	east asian wide
FF21	control	2	2	2	fullwidth
FF71	control	1	1	1	halfwidth katakana
D55C	control	2	2	2	hangul syllable
2588	control	1	1	1	block
2500	control	1	1	1	box drawing
FDFA	control	1	1	1	arabic ligature
1F44D	control	2	2	2	emoji presentation, wide
231A	control	2	2	2	emoji presentation, wide
2705	control	2	2	2	emoji presentation, wide
263A	control	1	1	1	text presentation, narrow
2764	control	1	1	1	text presentation, narrow
1F3F3	control	1	1	1	no presentation, narrow
2691	control	1	1	1	no presentation, narrow
263A+FE0F	control	2	2	1	narrow base + VS16
2764+FE0F	control	2	2	1	narrow base + VS16
1F3F3+FE0F	control	2	2	1	narrow base + VS16
2691+FE0F	control	1	1	1	narrow base + VS16
1F44D+FE0F	control	2	2	2	wide base + VS16
231A+FE0F	control	2	2	2	wide base + VS16
263A+FE0E	control	1	1	1	narrow base + VS15
1F44D+FE0E	control	1	1	2	wide base + VS15
1F468+200D+1F469	control	2	2	5	wide first, two parts
1F468+200D+1F469+200D+1F467	control	2	2	8	wide first, three parts
1F468+200D+1F469+200D+1F467+200D+1F466	control	2	2	11	wide first, four parts
1F469+200D+1F4BB	control	2	2	5	wide first, two parts
1F469+200D+1F680	control	2	2	5	wide first, two parts
1F3F3+FE0F+200D+1F308	control	2	2	4	narrow first, selector, two parts
1F3F3+FE0F+200D+26A7+FE0F	control	2	2	3	narrow first, two selectors
2764+FE0F+200D+1F525	control	2	2	4	narrow first, selector, two parts
1F441+FE0F+200D+1F5E8+FE0F	control	2	2	3	narrow first, two selectors
1F43B+200D+2744+FE0F	control	2	2	4	wide first, narrow second
0061+200D+0062	control	2	2	3	letters either side of a joiner
200D	control	0	0	1	a joiner on its own
1F44D+1F3FD	control	2	2	4	skin tone
1F469+1F3FF+200D+1F4BB	control	2	2	7	skin tone inside a joined pair
0031+20E3	control	1	1	2	keycap without a selector
0031+FE0F+20E3	control	2	2	2	keycap with a selector
0061+20DD	control	1	1	2	combining enclosing circle
0061+0488	control	1	1	2	combining cyrillic sign
1F1FA	control	2	2	1	one indicator
1F1FA+1F1F8	control	2	2	2	two indicators
1F1FA+1F1F8+1F1EF	control	4	4	3	three indicators
1F1FA+1F1F8+1F1EF+1F1F5	control	4	4	4	four indicators
1F3F4+E0067+E0062+E0073+E0063+E0074+E007F	control	2	2	8	tag sequence
0065+0301	control	1	1	1	one nonspacing mark
0065+0301+0302	control	1	1	1	two nonspacing marks
0065+0301+0302+0303+0304	control	1	1	1	four nonspacing marks
0915+094D+0937	control	1	2	2	devanagari conjunct
0915+094D+0937+093F	control	1	2	3	conjunct plus a spacing vowel
0915+093F	control	1	2	2	consonant plus a spacing vowel
0915+094B	control	1	2	2	consonant plus a two part vowel
0BA8+0BBF	control	1	2	2	tamil na plus a vowel
0BA8+0BCB	control	1	2	2	tamil na plus a two part vowel
0995+09CD+09B7	control	1	2	2	bengali conjunct
0C15+0C4D+0C37	control	1	2	2	telugu conjunct
0E01+0E33	control	1	2	2	ko kai plus sara am
0E01+0E33+0E33	control	1	2	3	ko kai plus two sara am
0E01+0E48	control	1	1	1	ko kai plus a tone mark
0E01+0E34+0E48	control	1	1	1	ko kai, vowel, tone
0EA5+0EB2	control	2	2	2	lo loot plus a vowel
1100+1161	control	2	2	2	lead and vowel
1100+1161+11A8	control	2	2	2	lead, vowel and tail
1F600	emoji-fully-qualified	2	2	2	grinning face
1F603	emoji-fully-qualified	2	2	2	grinning face with big eyes
1F604	emoji-fully-qualified	2	2	2	grinning face with smiling eyes
1F601	emoji-fully-qualified	2	2	2	beaming face with smiling eyes
1F606	emoji-fully-qualified	2	2	2	grinning squinting face
1F605	emoji-fully-qualified	2	2	2	grinning face with sweat
1F923	emoji-fully-qualified	2	2	2	rolling on the floor laughing
1F602	emoji-fully-qualified	2	2	2	face with tears of joy
1F642	emoji-fully-qualified	2	2	2	slightly smiling face
1F643	emoji-fully-qualified	2	2	2	upside-down face
1FAE0	emoji-fully-qualified	2	2	2	melting face
1F609	emoji-fully-qualified	2	2	2	winking face
1F60A	emoji-fully-qualified	2	2	2	smiling face with smiling eyes
1F607	emoji-fully-qualified	2	2	2	smiling face with halo
1F970	emoji-fully-qualified	2	2	2	smiling face with hearts
1F60D	emoji-fully-qualified	2	2	2	smiling face with heart-eyes
1F929	emoji-fully-qualified	2	2	2	star-struck
1F618	emoji-fully-qualified	2	2	2	face blowing a kiss
1F617	emoji-fully-qualified	2	2	2	kissing face
1F61A	emoji-fully-qualified	2	2	2	kissing face with closed eyes
1F619	emoji-fully-qualified	2	2	2	kissing face with smiling eyes
1F972	emoji-fully-qualified	2	2	2	smiling face with tear
1F60B	emoji-fully-qualified	2	2	2	face savoring food
1F61B	emoji-fully-qualified	2	2	2	face with tongue
1F61C	emoji-fully-qualified	2	2	2	winking face with tongue
1F92A	emoji-fully-qualified	2	2	2	zany face
1F61D	emoji-fully-qualified	2	2	2	squinting face with tongue
1F911	emoji-fully-qualified	2	2	2	money-mouth face
1F917	emoji-fully-qualified	2	2	2	smiling face with open hands
1F92D	emoji-fully-qualified	2	2	2	face with hand over mouth
1FAE2	emoji-fully-qualified	2	2	2	face with open eyes and hand over mouth
1FAE3	emoji-fully-qualified	2	2	2	face with peeking eye
1F92B	emoji-fully-qualified	2	2	2	shushing face
1F914	emoji-fully-qualified	2	2	2	thinking face
1FAE1	emoji-fully-qualified	2	2	2	saluting face
1F910	emoji-fully-qualified	2	2	2	zipper-mouth face
1F928	emoji-fully-qualified	2	2	2	face with raised eyebrow
1F610	emoji-fully-qualified	2	2	2	neutral face
1F611	emoji-fully-qualified	2	2	2	expressionless face
1F636	emoji-fully-qualified	2	2	2	face without mouth
1FAE5	emoji-fully-qualified	2	2	2	dotted line face
1F636+200D+1F32B+FE0F	emoji-fully-qualified	2	2	4	face in clouds
1F636+200D+1F32B	emoji-minimally-qualified	2	2	4	face in clouds
1F60F	emoji-fully-qualified	2	2	2	smirking face
1F612	emoji-fully-qualified	2	2	2	unamused face
1F644	emoji-fully-qualified	2	2	2	face with rolling eyes
1F62C	emoji-fully-qualified	2	2	2	grimacing face
1F62E+200D+1F4A8	emoji-fully-qualified	2	2	5	face exhaling
1F925	emoji-fully-qualified	2	2	2	lying face
1FAE8	emoji-fully-qualified	2	2	2	shaking face
1F642+200D+2194+FE0F	emoji-fully-qualified	2	2	4	head shaking horizontally
1F642+200D+2194	emoji-minimally-qualified	2	2	4	head shaking horizontally
1F642+200D+2195+FE0F	emoji-fully-qualified	2	2	4	head shaking vertically
1F642+200D+2195	emoji-minimally-qualified	2	2	4	head shaking vertically
1F60C	emoji-fully-qualified	2	2	2	relieved face
1F614	emoji-fully-qualified	2	2	2	pensive face
1F62A	emoji-fully-qualified	2	2	2	sleepy face
1F924	emoji-fully-qualified	2	2	2	drooling face
1F634	emoji-fully-qualified	2	2	2	sleeping face
1FAE9	emoji-fully-qualified	2	2	2	face with bags under eyes
1F637	emoji-fully-qualified	2	2	2	face with medical mask
1F912	emoji-fully-qualified	2	2	2	face with thermometer
1F915	emoji-fully-qualified	2	2	2	face with head-bandage
1F922	emoji-fully-qualified	2	2	2	nauseated face
1F92E	emoji-fully-qualified	2	2	2	face vomiting
1F927	emoji-fully-qualified	2	2	2	sneezing face
1F975	emoji-fully-qualified	2	2	2	hot face
1F976	emoji-fully-qualified	2	2	2	cold face
1F974	emoji-fully-qualified	2	2	2	woozy face
1F635	emoji-fully-qualified	2	2	2	face with crossed-out eyes
1F635+200D+1F4AB	emoji-fully-qualified	2	2	5	face with spiral eyes
1F92F	emoji-fully-qualified	2	2	2	exploding head
1F920	emoji-fully-qualified	2	2	2	cowboy hat face
1F973	emoji-fully-qualified	2	2	2	partying face
1F978	emoji-fully-qualified	2	2	2	disguised face
1F60E	emoji-fully-qualified	2	2	2	smiling face with sunglasses
1F913	emoji-fully-qualified	2	2	2	nerd face
1F9D0	emoji-fully-qualified	2	2	2	face with monocle
1F615	emoji-fully-qualified	2	2	2	confused face
1FAE4	emoji-fully-qualified	2	2	2	face with diagonal mouth
1F61F	emoji-fully-qualified	2	2	2	worried face
1F641	emoji-fully-qualified	2	2	2	slightly frowning face
2639+FE0F	emoji-fully-qualified	2	2	1	frowning face
2639	emoji-unqualified	1	1	1	frowning face
1F62E	emoji-fully-qualified	2	2	2	face with open mouth
1F62F	emoji-fully-qualified	2	2	2	hushed face
1F632	emoji-fully-qualified	2	2	2	astonished face
1F633	emoji-fully-qualified	2	2	2	flushed face
1F97A	emoji-fully-qualified	2	2	2	pleading face
1F979	emoji-fully-qualified	2	2	2	face holding back tears
1F626	emoji-fully-qualified	2	2	2	frowning face with open mouth
1F627	emoji-fully-qualified	2	2	2	anguished face
1F628	emoji-fully-qualified	2	2	2	fearful face
1F630	emoji-fully-qualified	2	2	2	anxious face with sweat
1F625	emoji-fully-qualified	2	2	2	sad but relieved face
1F622	emoji-fully-qualified	2	2	2	crying face
1F62D	emoji-fully-qualified	2	2	2	loudly crying face
1F631	emoji-fully-qualified	2	2	2	face screaming in fear
1F616	emoji-fully-qualified	2	2	2	confounded face
1F623	emoji-fully-qualified	2	2	2	persevering face
1F61E	emoji-fully-qualified	2	2	2	disappointed face
1F613	emoji-fully-qualified	2	2	2	downcast face with sweat
1F629	emoji-fully-qualified	2	2	2	weary face
1F62B	emoji-fully-qualified	2	2	2	tired face
1F971	emoji-fully-qualified	2	2	2	yawning face
1F624	emoji-fully-qualified	2	2	2	face with steam from nose
1F621	emoji-fully-qualified	2	2	2	enraged face
1F620	emoji-fully-qualified	2	2	2	angry face
1F92C	emoji-fully-qualified	2	2	2	face with symbols on mouth
1F608	emoji-fully-qualified	2	2	2	smiling face with horns
1F47F	emoji-fully-qualified	2	2	2	angry face with horns
1F480	emoji-fully-qualified	2	2	2	skull
2620+FE0F	emoji-fully-qualified	2	2	1	skull and crossbones
2620	emoji-unqualified	1	1	1	skull and crossbones
1F4A9	emoji-fully-qualified	2	2	2	pile of poo
1F921	emoji-fully-qualified	2	2	2	clown face
1F479	emoji-fully-qualified	2	2	2	ogre
1F47A	emoji-fully-qualified	2	2	2	goblin
1F47B	emoji-fully-qualified	2	2	2	ghost
1F47D	emoji-fully-qualified	2	2	2	alien
1F47E	emoji-fully-qualified	2	2	2	alien monster
1F916	emoji-fully-qualified	2	2	2	robot
1F63A	emoji-fully-qualified	2	2	2	grinning cat
1F638	emoji-fully-qualified	2	2	2	grinning cat with smiling eyes
1F639	emoji-fully-qualified	2	2	2	cat with tears of joy
1F63B	emoji-fully-qualified	2	2	2	smiling cat with heart-eyes
1F63C	emoji-fully-qualified	2	2	2	cat with wry smile
1F63D	emoji-fully-qualified	2	2	2	kissing cat
1F640	emoji-fully-qualified	2	2	2	weary cat
1F63F	emoji-fully-qualified	2	2	2	crying cat
1F63E	emoji-fully-qualified	2	2	2	pouting cat
1F648	emoji-fully-qualified	2	2	2	see-no-evil monkey
1F649	emoji-fully-qualified	2	2	2	hear-no-evil monkey
1F64A	emoji-fully-qualified	2	2	2	speak-no-evil monkey
1F48C	emoji-fully-qualified	2	2	2	love letter
1F498	emoji-fully-qualified	2	2	2	heart with arrow
1F49D	emoji-fully-qualified	2	2	2	heart with ribbon
1F496	emoji-fully-qualified	2	2	2	sparkling heart
1F497	emoji-fully-qualified	2	2	2	growing heart
1F493	emoji-fully-qualified	2	2	2	beating heart
1F49E	emoji-fully-qualified	2	2	2	revolving hearts
1F495	emoji-fully-qualified	2	2	2	two hearts
1F49F	emoji-fully-qualified	2	2	2	heart decoration
2763+FE0F	emoji-fully-qualified	2	2	1	heart exclamation
2763	emoji-unqualified	1	1	1	heart exclamation
1F494	emoji-fully-qualified	2	2	2	broken heart
2764+200D+1F525	emoji-unqualified	1	1	4	heart on fire
2764+FE0F+200D+1FA79	emoji-fully-qualified	2	2	4	mending heart
2764+200D+1FA79	emoji-unqualified	1	1	4	mending heart
1FA77	emoji-fully-qualified	2	2	2	pink heart
1F9E1	emoji-fully-qualified	2	2	2	orange heart
1F49B	emoji-fully-qualified	2	2	2	yellow heart
1F49A	emoji-fully-qualified	2	2	2	green heart
1F499	emoji-fully-qualified	2	2	2	blue heart
1FA75	emoji-fully-qualified	2	2	2	light blue heart
1F49C	emoji-fully-qualified	2	2	2	purple heart
1F90E	emoji-fully-qualified	2	2	2	brown heart
1F5A4	emoji-fully-qualified	2	2	2	black heart
1FA76	emoji-fully-qualified	2	2	2	grey heart
1F90D	emoji-fully-qualified	2	2	2	white heart
1F48B	emoji-fully-qualified	2	2	2	kiss mark
1F4AF	emoji-fully-qualified	2	2	2	hundred points
1F4A2	emoji-fully-qualified	2	2	2	anger symbol
1F4A5	emoji-fully-qualified	2	2	2	collision
1F4AB	emoji-fully-qualified	2	2	2	dizzy
1F4A6	emoji-fully-qualified	2	2	2	sweat droplets
1F4A8	emoji-fully-qualified	2	2	2	dashing away
1F573+FE0F	emoji-fully-qualified	2	2	1	hole
1F573	emoji-unqualified	1	1	1	hole
1F4AC	emoji-fully-qualified	2	2	2	speech balloon
1F441+200D+1F5E8+FE0F	emoji-unqualified	2	2	3	eye in speech bubble
1F441+FE0F+200D+1F5E8	emoji-minimally-qualified	2	2	3	eye in speech bubble
1F441+200D+1F5E8	emoji-unqualified	1	1	3	eye in speech bubble
1F5E8+FE0F	emoji-fully-qualified	2	2	1	left speech bubble
1F5E8	emoji-unqualified	1	1	1	left speech bubble
1F5EF+FE0F	emoji-fully-qualified	2	2	1	right anger bubble
1F5EF	emoji-unqualified	1	1	1	right anger bubble
1F4AD	emoji-fully-qualified	2	2	2	thought balloon
1F4A4	emoji-fully-qualified	2	2	2	ZZZ
1F44B	emoji-fully-qualified	2	2	2	waving hand
1F44B+1F3FB	emoji-fully-qualified	2	2	4	waving hand: light skin tone
1F44B+1F3FC	emoji-fully-qualified	2	2	4	waving hand: medium-light skin tone
1F44B+1F3FD	emoji-fully-qualified	2	2	4	waving hand: medium skin tone
1F44B+1F3FE	emoji-fully-qualified	2	2	4	waving hand: medium-dark skin tone
1F44B+1F3FF	emoji-fully-qualified	2	2	4	waving hand: dark skin tone
1F91A	emoji-fully-qualified	2	2	2	raised back of hand
1F91A+1F3FB	emoji-fully-qualified	2	2	4	raised back of hand: light skin tone
1F91A+1F3FC	emoji-fully-qualified	2	2	4	raised back of hand: medium-light skin tone
1F91A+1F3FD	emoji-fully-qualified	2	2	4	raised back of hand: medium skin tone
1F91A+1F3FE	emoji-fully-qualified	2	2	4	raised back of hand: medium-dark skin tone
1F91A+1F3FF	emoji-fully-qualified	2	2	4	raised back of hand: dark skin tone
1F590+FE0F	emoji-fully-qualified	2	2	1	hand with fingers splayed
1F590	emoji-unqualified	2	1	1	hand with fingers splayed
1F590+1F3FB	emoji-fully-qualified	2	1	3	hand with fingers splayed: light skin tone
1F590+1F3FC	emoji-fully-qualified	2	1	3	hand with fingers splayed: medium-light skin tone
1F590+1F3FD	emoji-fully-qualified	2	1	3	hand with fingers splayed: medium skin tone
1F590+1F3FE	emoji-fully-qualified	2	1	3	hand with fingers splayed: medium-dark skin tone
1F590+1F3FF	emoji-fully-qualified	2	1	3	hand with fingers splayed: dark skin tone
270B	emoji-fully-qualified	2	2	2	raised hand
270B+1F3FB	emoji-fully-qualified	2	2	4	raised hand: light skin tone
270B+1F3FC	emoji-fully-qualified	2	2	4	raised hand: medium-light skin tone
270B+1F3FD	emoji-fully-qualified	2	2	4	raised hand: medium skin tone
270B+1F3FE	emoji-fully-qualified	2	2	4	raised hand: medium-dark skin tone
270B+1F3FF	emoji-fully-qualified	2	2	4	raised hand: dark skin tone
1F596	emoji-fully-qualified	2	2	2	vulcan salute
1F596+1F3FB	emoji-fully-qualified	2	2	4	vulcan salute: light skin tone
1F596+1F3FC	emoji-fully-qualified	2	2	4	vulcan salute: medium-light skin tone
1F596+1F3FD	emoji-fully-qualified	2	2	4	vulcan salute: medium skin tone
1F596+1F3FE	emoji-fully-qualified	2	2	4	vulcan salute: medium-dark skin tone
1F596+1F3FF	emoji-fully-qualified	2	2	4	vulcan salute: dark skin tone
1FAF1	emoji-fully-qualified	2	2	2	rightwards hand
1FAF1+1F3FB	emoji-fully-qualified	2	2	4	rightwards hand: light skin tone
1FAF1+1F3FC	emoji-fully-qualified	2	2	4	rightwards hand: medium-light skin tone
1FAF1+1F3FD	emoji-fully-qualified	2	2	4	rightwards hand: medium skin tone
1FAF1+1F3FE	emoji-fully-qualified	2	2	4	rightwards hand: medium-dark skin tone
1FAF1+1F3FF	emoji-fully-qualified	2	2	4	rightwards hand: dark skin tone
1FAF2	emoji-fully-qualified	2	2	2	leftwards hand
1FAF2+1F3FB	emoji-fully-qualified	2	2	4	leftwards hand: light skin tone
1FAF2+1F3FC	emoji-fully-qualified	2	2	4	leftwards hand: medium-light skin tone
1FAF2+1F3FD	emoji-fully-qualified	2	2	4	leftwards hand: medium skin tone
1FAF2+1F3FE	emoji-fully-qualified	2	2	4	leftwards hand: medium-dark skin tone
1FAF2+1F3FF	emoji-fully-qualified	2	2	4	leftwards hand: dark skin tone
1FAF3	emoji-fully-qualified	2	2	2	palm down hand
1FAF3+1F3FB	emoji-fully-qualified	2	2	4	palm down hand: light skin tone
1FAF3+1F3FC	emoji-fully-qualified	2	2	4	palm down hand: medium-light skin tone
1FAF3+1F3FD	emoji-fully-qualified	2	2	4	palm down hand: medium skin tone
1FAF3+1F3FE	emoji-fully-qualified	2	2	4	palm down hand: medium-dark skin tone
1FAF3+1F3FF	emoji-fully-qualified	2	2	4	palm down hand: dark skin tone
1FAF4	emoji-fully-qualified	2	2	2	palm up hand
1FAF4+1F3FB	emoji-fully-qualified	2	2	4	palm up hand: light skin tone
1FAF4+1F3FC	emoji-fully-qualified	2	2	4	palm up hand: medium-light skin tone
1FAF4+1F3FD	emoji-fully-qualified	2	2	4	palm up hand: medium skin tone
1FAF4+1F3FE	emoji-fully-qualified	2	2	4	palm up hand: medium-dark skin tone
1FAF4+1F3FF	emoji-fully-qualified	2	2	4	palm up hand: dark skin tone
1FAF7	emoji-fully-qualified	2	2	2	leftwards pushing hand
1FAF7+1F3FB	emoji-fully-qualified	2	2	4	leftwards pushing hand: light skin tone
1FAF7+1F3FC	emoji-fully-qualified	2	2	4	leftwards pushing hand: medium-light skin tone
1FAF7+1F3FD	emoji-fully-qualified	2	2	4	leftwards pushing hand: medium skin tone
1FAF7+1F3FE	emoji-fully-qualified	2	2	4	leftwards pushing hand: medium-dark skin tone
1FAF7+1F3FF	emoji-fully-qualified	2	2	4	leftwards pushing hand: dark skin tone
1FAF8	emoji-fully-qualified	2	2	2	rightwards pushing hand
1FAF8+1F3FB	emoji-fully-qualified	2	2	4	rightwards pushing hand: light skin tone
1FAF8+1F3FC	emoji-fully-qualified	2	2	4	rightwards pushing hand: medium-light skin tone
1FAF8+1F3FD	emoji-fully-qualified	2	2	4	rightwards pushing hand: medium skin tone
1FAF8+1F3FE	emoji-fully-qualified	2	2	4	rightwards pushing hand: medium-dark skin tone
1FAF8+1F3FF	emoji-fully-qualified	2	2	4	rightwards pushing hand: dark skin tone
1F44C	emoji-fully-qualified	2	2	2	OK hand
1F44C+1F3FB	emoji-fully-qualified	2	2	4	OK hand: light skin tone
1F44C+1F3FC	emoji-fully-qualified	2	2	4	OK hand: medium-light skin tone
1F44C+1F3FD	emoji-fully-qualified	2	2	4	OK hand: medium skin tone
1F44C+1F3FE	emoji-fully-qualified	2	2	4	OK hand: medium-dark skin tone
1F44C+1F3FF	emoji-fully-qualified	2	2	4	OK hand: dark skin tone
1F90C	emoji-fully-qualified	2	2	2	pinched fingers
1F90C+1F3FB	emoji-fully-qualified	2	2	4	pinched fingers: light skin tone
1F90C+1F3FC	emoji-fully-qualified	2	2	4	pinched fingers: medium-light skin tone
1F90C+1F3FD	emoji-fully-qualified	2	2	4	pinched fingers: medium skin tone
1F90C+1F3FE	emoji-fully-qualified	2	2	4	pinched fingers: medium-dark skin tone
1F90C+1F3FF	emoji-fully-qualified	2	2	4	pinched fingers: dark skin tone
1F90F	emoji-fully-qualified	2	2	2	pinching hand
1F90F+1F3FB	emoji-fully-qualified	2	2	4	pinching hand: light skin tone
1F90F+1F3FC	emoji-fully-qualified	2	2	4	pinching hand: medium-light skin tone
1F90F+1F3FD	emoji-fully-qualified	2	2	4	pinching hand: medium skin tone
1F90F+1F3FE	emoji-fully-qualified	2	2	4	pinching hand: medium-dark skin tone
1F90F+1F3FF	emoji-fully-qualified	2	2	4	pinching hand: dark skin tone
270C+FE0F	emoji-fully-qualified	2	2	1	victory hand
270C	emoji-unqualified	2	1	1	victory hand
270C+1F3FB	emoji-fully-qualified	2	1	3	victory hand: light skin tone
270C+1F3FC	emoji-fully-qualified	2	1	3	victory hand: medium-light skin tone
270C+1F3FD	emoji-fully-qualified	2	1	3	victory hand: medium skin tone
270C+1F3FE	emoji-fully-qualified	2	1	3	victory hand: medium-dark skin tone
270C+1F3FF	emoji-fully-qualified	2	1	3	victory hand: dark skin tone
1F91E	emoji-fully-qualified	2	2	2	crossed fingers
1F91E+1F3FB	emoji-fully-qualified	2	2	4	crossed fingers: light skin tone
1F91E+1F3FC	emoji-fully-qualified	2	2	4	crossed fingers: medium-light skin tone
1F91E+1F3FD	emoji-fully-qualified	2	2	4	crossed fingers: medium skin tone
1F91E+1F3FE	emoji-fully-qualified	2	2	4	crossed fingers: medium-dark skin tone
1F91E+1F3FF	emoji-fully-qualified	2	2	4	crossed fingers: dark skin tone
1FAF0	emoji-fully-qualified	2	2	2	hand with index finger and thumb crossed
1FAF0+1F3FB	emoji-fully-qualified	2	2	4	hand with index finger and thumb crossed: light skin tone
1FAF0+1F3FC	emoji-fully-qualified	2	2	4	hand with index finger and thumb crossed: medium-light skin tone
1FAF0+1F3FD	emoji-fully-qualified	2	2	4	hand with index finger and thumb crossed: medium skin tone
1FAF0+1F3FE	emoji-fully-qualified	2	2	4	hand with index finger and thumb crossed: medium-dark skin tone
1FAF0+1F3FF	emoji-fully-qualified	2	2	4	hand with index finger and thumb crossed: dark skin tone
1F91F	emoji-fully-qualified	2	2	2	love-you gesture
1F91F+1F3FB	emoji-fully-qualified	2	2	4	love-you gesture: light skin tone
1F91F+1F3FC	emoji-fully-qualified	2	2	4	love-you gesture: medium-light skin tone
1F91F+1F3FD	emoji-fully-qualified	2	2	4	love-you gesture: medium skin tone
1F91F+1F3FE	emoji-fully-qualified	2	2	4	love-you gesture: medium-dark skin tone
1F91F+1F3FF	emoji-fully-qualified	2	2	4	love-you gesture: dark skin tone
1F918	emoji-fully-qualified	2	2	2	sign of the horns
1F918+1F3FB	emoji-fully-qualified	2	2	4	sign of the horns: light skin tone
1F918+1F3FC	emoji-fully-qualified	2	2	4	sign of the horns: medium-light skin tone
1F918+1F3FD	emoji-fully-qualified	2	2	4	sign of the horns: medium skin tone
1F918+1F3FE	emoji-fully-qualified	2	2	4	sign of the horns: medium-dark skin tone
1F918+1F3FF	emoji-fully-qualified	2	2	4	sign of the horns: dark skin tone
1F919	emoji-fully-qualified	2	2	2	call me hand
1F919+1F3FB	emoji-fully-qualified	2	2	4	call me hand: light skin tone
1F919+1F3FC	emoji-fully-qualified	2	2	4	call me hand: medium-light skin tone
1F919+1F3FD	emoji-fully-qualified	2	2	4	call me hand: medium skin tone
1F919+1F3FE	emoji-fully-qualified	2	2	4	call me hand: medium-dark skin tone
1F919+1F3FF	emoji-fully-qualified	2	2	4	call me hand: dark skin tone
1F448	emoji-fully-qualified	2	2	2	backhand index pointing left
1F448+1F3FB	emoji-fully-qualified	2	2	4	backhand index pointing left: light skin tone
1F448+1F3FC	emoji-fully-qualified	2	2	4	backhand index pointing left: medium-light skin tone
1F448+1F3FD	emoji-fully-qualified	2	2	4	backhand index pointing left: medium skin tone
1F448+1F3FE	emoji-fully-qualified	2	2	4	backhand index pointing left: medium-dark skin tone
1F448+1F3FF	emoji-fully-qualified	2	2	4	backhand index pointing left: dark skin tone
1F449	emoji-fully-qualified	2	2	2	backhand index pointing right
1F449+1F3FB	emoji-fully-qualified	2	2	4	backhand index pointing right: light skin tone
1F449+1F3FC	emoji-fully-qualified	2	2	4	backhand index pointing right: medium-light skin tone
1F449+1F3FD	emoji-fully-qualified	2	2	4	backhand index pointing right: medium skin tone
1F449+1F3FE	emoji-fully-qualified	2	2	4	backhand index pointing right: medium-dark skin tone
1F449+1F3FF	emoji-fully-qualified	2	2	4	backhand index pointing right: dark skin tone
1F446	emoji-fully-qualified	2	2	2	backhand index pointing up
1F446+1F3FB	emoji-fully-qualified	2	2	4	backhand index pointing up: light skin tone
1F446+1F3FC	emoji-fully-qualified	2	2	4	backhand index pointing up: medium-light skin tone
1F446+1F3FD	emoji-fully-qualified	2	2	4	backhand index pointing up: medium skin tone
1F446+1F3FE	emoji-fully-qualified	2	2	4	backhand index pointing up: medium-dark skin tone
1F446+1F3FF	emoji-fully-qualified	2	2	4	backhand index pointing up: dark skin tone
1F595	emoji-fully-qualified	2	2	2	middle finger
1F595+1F3FB	emoji-fully-qualified	2	2	4	middle finger: light skin tone
1F595+1F3FC	emoji-fully-qualified	2	2	4	middle finger: medium-light skin tone
1F595+1F3FD	emoji-fully-qualified	2	2	4	middle finger: medium skin tone
1F595+1F3FE	emoji-fully-qualified	2	2	4	middle finger: medium-dark skin tone
1F595+1F3FF	emoji-fully-qualified	2	2	4	middle finger: dark skin tone
1F447	emoji-fully-qualified	2	2	2	backhand index pointing down
1F447+1F3FB	emoji-fully-qualified	2	2	4	backhand index pointing down: light skin tone
1F447+1F3FC	emoji-fully-qualified	2	2	4	backhand index pointing down: medium-light skin tone
1F447+1F3FD	emoji-fully-qualified	2	2	4	backhand index pointing down: medium skin tone
1F447+1F3FE	emoji-fully-qualified	2	2	4	backhand index pointing down: medium-dark skin tone
1F447+1F3FF	emoji-fully-qualified	2	2	4	backhand index pointing down: dark skin tone
261D+FE0F	emoji-fully-qualified	2	2	1	index pointing up
261D	emoji-unqualified	2	1	1	index pointing up
261D+1F3FB	emoji-fully-qualified	2	1	3	index pointing up: light skin tone
261D+1F3FC	emoji-fully-qualified	2	1	3	index pointing up: medium-light skin tone
261D+1F3FD	emoji-fully-qualified	2	1	3	index pointing up: medium skin tone
261D+1F3FE	emoji-fully-qualified	2	1	3	index pointing up: medium-dark skin tone
261D+1F3FF	emoji-fully-qualified	2	1	3	index pointing up: dark skin tone
1FAF5	emoji-fully-qualified	2	2	2	index pointing at the viewer
1FAF5+1F3FB	emoji-fully-qualified	2	2	4	index pointing at the viewer: light skin tone
1FAF5+1F3FC	emoji-fully-qualified	2	2	4	index pointing at the viewer: medium-light skin tone
1FAF5+1F3FD	emoji-fully-qualified	2	2	4	index pointing at the viewer: medium skin tone
1FAF5+1F3FE	emoji-fully-qualified	2	2	4	index pointing at the viewer: medium-dark skin tone
1FAF5+1F3FF	emoji-fully-qualified	2	2	4	index pointing at the viewer: dark skin tone
1F44D+1F3FB	emoji-fully-qualified	2	2	4	thumbs up: light skin tone
1F44D+1F3FC	emoji-fully-qualified	2	2	4	thumbs up: medium-light skin tone
1F44D+1F3FE	emoji-fully-qualified	2	2	4	thumbs up: medium-dark skin tone
1F44D+1F3FF	emoji-fully-qualified	2	2	4	thumbs up: dark skin tone
1F44E	emoji-fully-qualified	2	2	2	thumbs down
1F44E+1F3FB	emoji-fully-qualified	2	2	4	thumbs down: light skin tone
1F44E+1F3FC	emoji-fully-qualified	2	2	4	thumbs down: medium-light skin tone
1F44E+1F3FD	emoji-fully-qualified	2	2	4	thumbs down: medium skin tone
